country,total_pop,prct_yng_adt_pop
Belgium,11000638,18.48514604
Bulgaria,7364570,18.43257651
Estonia,1294455,19.68836306
Ireland,4574888,20.60133494
Greece,10816286,17.60441616
Spain,46815910,16.67433144
France,64933400,18.52750049
Croatia,4284889,18.55126235
Italy,59433744,15.47497327
Czechia,10436560,18.86248917
Cyprus,840407,23.3226282
Latvia,2070371,20.44285783
Lithuania,3043429,20.52678081
Luxembourg,512353,18.94065225
Hungary,9937628,18.3451222
Malta,417432,20.59065908
Netherlands,16655799,18.26997912
Austria,8401940,18.67754352
Denmark,5560628,18.08200441
Poland,38044565,21.91580847
Portugal,10562178,17.07404477
Romania,20121641,18.77532752
Germany,80219695,17.10558984
Slovenia,2050189,18.30879982
Slovakia,5397036,21.90859946
Finland,5375276,18.71395999
Sweden,9482855,19.38629242
United Kingdom,63182180,19.94231601
Iceland,315556,21.59331466
Norway,4979954,19.58654638
Switzerland,7954662,18.44578689
Turkey,7954662,18.71395999
